Airline,Source,Destination,Duration,Total stops,Price,Date
Etihad Airways,NYC,RUH,15h 45m ,1 stop ,"2,173 SAR ",01-02-2022
Etihad Airways,NYC,RUH,15h 45m ,1 stop ,"2,078 SAR ",01-02-2022
Etihad Airways,NYC,RUH,21h 55m ,1 stop ,"2,078 SAR ",01-02-2022
Egypt Air,NYC,RUH,18h 40m ,1 stop ,"2,479 SAR ",01-02-2022
Royal Jordanian,NYC,RUH,14h 10m ,1 stop ,"2,570 SAR ",01-02-2022
Qatar Airways,NYC,RUH,20h 15m ,1 stop ,"2,523 SAR ",01-02-2022
Qatar Airways,NYC,RUH,21h 10m ,1 stop ,"2,523 SAR ",01-02-2022
Royal Jordanian,NYC,RUH,21h 00m ,1 stop ,"2,570 SAR ",01-02-2022
Ethiopian Air,NYC,RUH,21h 40m ,1 stop ,"2,815 SAR ",01-02-2022
Lufthansa,NYC,RUH,16h 10m ,1 stop ,"3,512 SAR ",01-02-2022
"United Airlines, Lufthansa",NYC,RUH,16h 10m ,1 stop ,"3,557 SAR ",01-02-2022
Turkish Airlines,NYC,RUH,21h 25m ,1 stop ,"2,944 SAR ",01-02-2022
Turkish Airlines,NYC,RUH,22h 15m ,1 stop ,"2,944 SAR ",01-02-2022
"American Airlines, Qatar Airways",NYC,RUH,20h 15m ,1 stop ,"3,074 SAR ",01-02-2022
Lufthansa,NYC,RUH,17h 35m ,1 stop ,"3,492 SAR ",01-02-2022
Lufthansa,NYC,RUH,19h 55m ,1 stop ,"3,492 SAR ",01-02-2022
"United Airlines, Lufthansa",NYC,RUH,17h 35m ,1 stop ,"3,557 SAR ",01-02-2022
"United Airlines, Lufthansa",NYC,RUH,19h 55m ,1 stop ,"3,557 SAR ",01-02-2022
KLM,NYC,RUH,17h 50m ,1 stop ,"3,759 SAR ",01-02-2022
KLM,NYC,RUH,19h 50m ,1 stop ,"3,759 SAR ",01-02-2022
Emirates,NYC,RUH,20h 05m ,1 stop ,"3,759 SAR ",01-02-2022
Emirates,NYC,RUH,18h 30m ,1 stop ,"3,790 SAR ",01-02-2022
Emirates,NYC,RUH,19h 25m ,1 stop ,"3,790 SAR ",01-02-2022
"Emirates, flynas",NYC,RUH,17h 45m ,1 stop ,"3,743 SAR ",01-02-2022
KLM,NYC,RUH,20h 45m ,1 stop ,"3,759 SAR ",01-02-2022
Emirates,NYC,RUH,24h 05m ,1 stop ,"3,790 SAR ",01-02-2022
"Virgin Atlantic, SAUDIA",NYC,RUH,16h 14m ,1 stop ,"7,486 SAR ",01-02-2022
"American Airlines, British Airways",NYC,RUH,15h 35m ,1 stop ,"7,633 SAR ",01-02-2022
British Airways,NYC,RUH,15h 35m ,1 stop ,"7,656 SAR ",01-02-2022
Multiple Airlines,NYC,RUH,21h 20m ,2 stops ,"2,508 SAR ",01-02-2022
Ethiopian Air,NYC,RUH,21h 40m ,2 stops ,"2,605 SAR ",01-02-2022
"Egypt Air, flyadeal",NYC,RUH,19h 05m ,2 stops ,"2,746 SAR ",01-02-2022
"Egypt Air, flynas",NYC,RUH,18h 35m ,2 stops ,"2,757 SAR ",01-02-2022
Ethiopian Air,NYC,RUH,21h 40m ,2 stops ,"2,793 SAR ",01-02-2022
Qatar Airways,NYC,RUH,23h 40m ,2 stops ,"3,160 SAR ",01-02-2022
"Emirates, Egypt Air",NYC,RUH,20h 40m ,2 stops ,"3,171 SAR ",01-02-2022
"Air France, Royal Jordanian",NYC,RUH,18h 20m ,2 stops ,"3,185 SAR ",01-02-2022
Air Canada,NYC,RUH,20h 00m ,2 stops ,"3,403 SAR ",01-02-2022
Air Canada,NYC,RUH,20h 10m ,2 stops ,"3,403 SAR ",01-02-2022
Air Canada,NYC,RUH,21h 14m ,2 stops ,"3,403 SAR ",01-02-2022
Air Canada,NYC,RUH,23h 00m ,2 stops ,"3,403 SAR ",01-02-2022
Air Canada,NYC,RUH,21h 40m ,2 stops ,"3,410 SAR ",01-02-2022
Air Canada,NYC,RUH,21h 45m ,2 stops ,"3,410 SAR ",01-02-2022
Air Canada,NYC,RUH,22h 40m ,2 stops ,"3,410 SAR ",01-02-2022
Air Canada,NYC,RUH,23h 25m ,2 stops ,"3,410 SAR ",01-02-2022
Air Canada,NYC,RUH,17h 05m ,2 stops ,"3,424 SAR ",01-02-2022
Air Canada,NYC,RUH,17h 15m ,2 stops ,"3,424 SAR ",01-02-2022
Air Canada,NYC,RUH,18h 05m ,2 stops ,"3,424 SAR ",01-02-2022
Air Canada,NYC,RUH,19h 05m ,2 stops ,"3,424 SAR ",01-02-2022
"Egypt Air, Gulf Air",NYC,RUH,18h 10m ,2 stops ,"3,425 SAR ",01-02-2022
SWISS,NYC,RUH,17h 30m ,2 stops ,"3,488 SAR ",01-02-2022
Lufthansa,NYC,RUH,18h 25m ,2 stops ,"3,502 SAR ",01-02-2022
Lufthansa,NYC,RUH,18h 25m ,2 stops ,"3,502 SAR ",01-02-2022
Lufthansa,NYC,RUH,18h 25m ,2 stops ,"3,502 SAR ",01-02-2022
Lufthansa,NYC,RUH,18h 25m ,2 stops ,"3,502 SAR ",01-02-2022
SWISS,NYC,RUH,17h 00m ,2 stops ,"3,508 SAR ",01-02-2022
Lufthansa,NYC,RUH,18h 00m ,2 stops ,"3,517 SAR ",01-02-2022
Lufthansa,NYC,RUH,17h 00m ,2 stops ,"3,518 SAR ",01-02-2022
Lufthansa,NYC,RUH,18h 35m ,2 stops ,"3,522 SAR ",01-02-2022
Lufthansa,NYC,RUH,18h 35m ,2 stops ,"3,522 SAR ",01-02-2022
Lufthansa,NYC,RUH,18h 35m ,2 stops ,"3,522 SAR ",01-02-2022
Lufthansa,NYC,RUH,18h 35m ,2 stops ,"3,522 SAR ",01-02-2022
Lufthansa,NYC,RUH,17h 10m ,2 stops ,"3,534 SAR ",01-02-2022
Lufthansa,NYC,RUH,16h 55m ,2 stops ,"3,542 SAR ",01-02-2022
SWISS,NYC,RUH,18h 05m ,2 stops ,"3,544 SAR ",01-02-2022
Lufthansa,NYC,RUH,18h 05m ,2 stops ,"3,556 SAR ",01-02-2022
"Air Canada, Lufthansa",NYC,RUH,20h 00m ,2 stops ,"3,557 SAR ",01-02-2022
"Air Canada, Lufthansa",NYC,RUH,20h 10m ,2 stops ,"3,557 SAR ",01-02-2022
"Air Canada, Lufthansa",NYC,RUH,21h 14m ,2 stops ,"3,557 SAR ",01-02-2022
"Air Canada, Lufthansa",NYC,RUH,23h 00m ,2 stops ,"3,557 SAR ",01-02-2022
"United Airlines, Lufthansa",NYC,RUH,20h 05m ,2 stops ,"3,574 SAR ",01-02-2022
"United Airlines, Lufthansa",NYC,RUH,18h 00m ,2 stops ,"3,577 SAR ",01-02-2022
"Air Canada, Lufthansa",NYC,RUH,17h 05m ,2 stops ,"3,578 SAR ",01-02-2022
"Air Canada, Lufthansa",NYC,RUH,17h 15m ,2 stops ,"3,578 SAR ",01-02-2022
"Air Canada, Lufthansa",NYC,RUH,18h 05m ,2 stops ,"3,578 SAR ",01-02-2022
"Air Canada, Lufthansa",NYC,RUH,19h 05m ,2 stops ,"3,578 SAR ",01-02-2022
"Air Canada, Lufthansa",NYC,RUH,20h 15m ,2 stops ,"3,578 SAR ",01-02-2022
"Air Canada, Lufthansa",NYC,RUH,21h 45m ,2 stops ,"3,578 SAR ",01-02-2022
"Air Canada, Lufthansa",NYC,RUH,21h 45m ,2 stops ,"3,578 SAR ",01-02-2022
"Air Canada, Lufthansa",NYC,RUH,21h 45m ,2 stops ,"3,578 SAR ",01-02-2022
"United Airlines, Lufthansa",NYC,RUH,17h 10m ,2 stops ,"3,594 SAR ",01-02-2022
"Turkish Airlines, flynas",NYC,RUH,18h 20m ,2 stops ,"3,667 SAR ",01-02-2022
Emirates,NYC,RUH,18h 30m ,2 stops ,"3,759 SAR ",01-02-2022
Emirates,NYC,RUH,19h 25m ,2 stops ,"3,759 SAR ",01-02-2022
Emirates,NYC,RUH,24h 05m ,2 stops ,"3,759 SAR ",01-02-2022
KLM,NYC,RUH,19h 50m ,2 stops ,"3,812 SAR ",01-02-2022
KLM,NYC,RUH,18h 50m ,2 stops ,"3,828 SAR ",01-02-2022
KLM,NYC,RUH,19h 50m ,2 stops ,"3,828 SAR ",01-02-2022
KLM,NYC,RUH,19h 50m ,2 stops ,"3,828 SAR ",01-02-2022
KLM,NYC,RUH,20h 50m ,2 stops ,"3,828 SAR ",01-02-2022
KLM,NYC,RUH,20h 50m ,2 stops ,"3,828 SAR ",01-02-2022
KLM,NYC,RUH,19h 20m ,2 stops ,"3,840 SAR ",01-02-2022
KLM,NYC,RUH,19h 20m ,2 stops ,"3,840 SAR ",01-02-2022
KLM,NYC,RUH,20h 21m ,2 stops ,"3,892 SAR ",01-02-2022
KLM,NYC,RUH,20h 50m ,2 stops ,"3,892 SAR ",01-02-2022
KLM,NYC,RUH,20h 50m ,2 stops ,"3,914 SAR ",01-02-2022
KLM,NYC,RUH,20h 50m ,2 stops ,"3,914 SAR ",01-02-2022
KLM,NYC,RUH,21h 50m ,2 stops ,"3,914 SAR ",01-02-2022
KLM,NYC,RUH,21h 50m ,2 stops ,"3,914 SAR ",01-02-2022
KLM,NYC,RUH,21h 50m ,2 stops ,"3,914 SAR ",01-02-2022
KLM,NYC,RUH,21h 50m ,2 stops ,"3,914 SAR ",01-02-2022
KLM,NYC,RUH,21h 50m ,2 stops ,"3,914 SAR ",01-02-2022
KLM,NYC,RUH,22h 50m ,2 stops ,"3,914 SAR ",01-02-2022
KLM,NYC,RUH,22h 50m ,2 stops ,"3,914 SAR ",01-02-2022
KLM,NYC,RUH,22h 50m ,2 stops ,"3,914 SAR ",01-02-2022
KLM,NYC,RUH,17h 20m ,2 stops ,"3,927 SAR ",01-02-2022
"Turkish Airlines, Royal Jordanian",NYC,RUH,17h 50m ,2 stops ,"4,530 SAR ",01-02-2022
"Virgin Atlantic, SAUDIA",NYC,RUH,17h 15m ,1 stop ,"7,632 SAR ",01-02-2022
"American Airlines, British Airways",NYC,RUH,17h 15m ,1 stop ,"7,633 SAR ",01-02-2022
"American Airlines, British Airways",NYC,RUH,17h 55m ,1 stop ,"7,633 SAR ",01-02-2022
"American Airlines, British Airways",NYC,RUH,18h 05m ,1 stop ,"7,633 SAR ",01-02-2022
"American Airlines, British Airways",NYC,RUH,18h 35m ,1 stop ,"7,633 SAR ",01-02-2022
"American Airlines, British Airways",NYC,RUH,19h 25m ,1 stop ,"7,633 SAR ",01-02-2022
"American Airlines, British Airways",NYC,RUH,19h 55m ,1 stop ,"7,633 SAR ",01-02-2022
"American Airlines, British Airways",NYC,RUH,20h 10m ,1 stop ,"7,633 SAR ",01-02-2022
"American Airlines, British Airways",NYC,RUH,20h 20m ,1 stop ,"7,633 SAR ",01-02-2022
British Airways,NYC,RUH,17h 15m ,1 stop ,"7,656 SAR ",01-02-2022
British Airways,NYC,RUH,17h 55m ,1 stop ,"7,656 SAR ",01-02-2022
British Airways,NYC,RUH,18h 05m ,1 stop ,"7,656 SAR ",01-02-2022
British Airways,NYC,RUH,18h 35m ,1 stop ,"7,656 SAR ",01-02-2022
British Airways,NYC,RUH,19h 25m ,1 stop ,"7,656 SAR ",01-02-2022
British Airways,NYC,RUH,19h 55m ,1 stop ,"7,656 SAR ",01-02-2022
British Airways,NYC,RUH,20h 10m ,1 stop ,"7,656 SAR ",01-02-2022
British Airways,NYC,RUH,20h 20m ,1 stop ,"7,656 SAR ",01-02-2022
Qatar Airways,NYC,RUH,21h 55m ,2 stops ,"5,510 SAR ",01-02-2022
Qatar Airways,NYC,RUH,23h 45m ,2 stops ,"5,510 SAR ",01-02-2022
Qatar Airways,NYC,RUH,23h 45m ,2 stops ,"5,510 SAR ",01-02-2022
Qatar Airways,NYC,RUH,21h 40m ,2 stops ,"5,543 SAR ",01-02-2022
"Turkish Airlines, AnadoluJet",NYC,RUH,19h 25m ,1 stop ,"5,879 SAR ",01-02-2022
British Airways,NYC,RUH,21h 21m ,2 stops ,"7,656 SAR ",01-02-2022
British Airways,NYC,RUH,22h 20m ,2 stops ,"7,673 SAR ",01-02-2022
British Airways,NYC,RUH,22h 20m ,2 stops ,"7,673 SAR ",01-02-2022
British Airways,NYC,RUH,22h 57m ,2 stops ,"7,673 SAR ",01-02-2022
British Airways,NYC,RUH,22h 57m ,2 stops ,"7,673 SAR ",01-02-2022
British Airways,NYC,RUH,21h 32m ,2 stops ,"7,677 SAR ",01-02-2022
British Airways,NYC,RUH,22h 21m ,2 stops ,"7,981 SAR ",01-02-2022
British Airways,NYC,RUH,22h 25m ,2 stops ,"7,981 SAR ",01-02-2022
British Airways,NYC,RUH,23h 21m ,2 stops ,"7,981 SAR ",01-02-2022
British Airways,NYC,RUH,23h 21m ,2 stops ,"7,981 SAR ",01-02-2022
British Airways,NYC,RUH,23h 50m ,2 stops ,"7,981 SAR ",01-02-2022
Qatar Airways,NYC,RUH,21h 55m ,2 stops ,"5,590 SAR ",01-02-2022
British Airways,NYC,RUH,23h 50m ,2 stops ,"14,119 SAR ",01-02-2022
Multiple Airlines,NYC,RUH,17h 10m ,2 stops ,"17,375 SAR ",01-02-2022
"Air France, SAUDIA",NYC,RUH,14h 45m ,1 stop ,"73,151 SAR ",01-02-2022
"Air France, SAUDIA",NYC,RUH,15h 45m ,1 stop ,"73,151 SAR ",01-02-2022
"Singapore Airlines, Egypt Air",NYC,RUH,23h 25m ,2 stops ,"12,496 SAR ",01-02-2022
"Singapore Airlines, Egypt Air",NYC,RUH,23h 25m ,2 stops ,"12,945 SAR ",01-02-2022
Etihad Airways,NYC,RUH,15h 45m ,1 stop ,"2,154 SAR ",02-02-2022
Etihad Airways,NYC,RUH,15h 45m ,1 stop ,"2,078 SAR ",02-02-2022
Etihad Airways,NYC,RUH,21h 55m ,1 stop ,"2,078 SAR ",02-02-2022
Egypt Air,NYC,RUH,18h 40m ,1 stop ,"2,149 SAR ",02-02-2022
Qatar Airways,NYC,RUH,20h 15m ,1 stop ,"2,523 SAR ",02-02-2022
Qatar Airways,NYC,RUH,21h 10m ,1 stop ,"2,523 SAR ",02-02-2022
Ethiopian Air,NYC,RUH,21h 40m ,1 stop ,"2,815 SAR ",02-02-2022
"Finnair, SAUDIA",NYC,RUH,18h 00m ,1 stop ,"3,014 SAR ",02-02-2022
Lufthansa,NYC,RUH,16h 10m ,1 stop ,"3,512 SAR ",02-02-2022
"United Airlines, Lufthansa",NYC,RUH,16h 10m ,1 stop ,"3,557 SAR ",02-02-2022
Turkish Airlines,NYC,RUH,21h 25m ,1 stop ,"2,944 SAR ",02-02-2022
Turkish Airlines,NYC,RUH,22h 15m ,1 stop ,"2,944 SAR ",02-02-2022
"American Airlines, Qatar Airways",NYC,RUH,20h 15m ,1 stop ,"3,074 SAR ",02-02-2022
"American Airlines, Qatar Airways",NYC,RUH,21h 10m ,1 stop ,"3,074 SAR ",02-02-2022
Lufthansa,NYC,RUH,17h 35m ,1 stop ,"3,492 SAR ",02-02-2022
Lufthansa,NYC,RUH,19h 55m ,1 stop ,"3,492 SAR ",02-02-2022
"United Airlines, Lufthansa",NYC,RUH,17h 35m ,1 stop ,"3,557 SAR ",02-02-2022
"United Airlines, Lufthansa",NYC,RUH,19h 55m ,1 stop ,"3,557 SAR ",02-02-2022
Air France,NYC,RUH,14h 45m ,1 stop ,"3,758 SAR ",02-02-2022
Air France,NYC,RUH,15h 45m ,1 stop ,"3,758 SAR ",02-02-2022
Air France,NYC,RUH,16h 45m ,1 stop ,"3,758 SAR ",02-02-2022
Air France,NYC,RUH,17h 45m ,1 stop ,"3,758 SAR ",02-02-2022
Air France,NYC,RUH,18h 45m ,1 stop ,"3,758 SAR ",02-02-2022
KLM,NYC,RUH,17h 50m ,1 stop ,"3,759 SAR ",02-02-2022
KLM,NYC,RUH,19h 50m ,1 stop ,"3,759 SAR ",02-02-2022
Emirates,NYC,RUH,20h 05m ,1 stop ,"3,759 SAR ",02-02-2022
Emirates,NYC,RUH,18h 30m ,1 stop ,"3,790 SAR ",02-02-2022
Emirates,NYC,RUH,19h 25m ,1 stop ,"3,790 SAR ",02-02-2022
Air France,NYC,RUH,17h 50m ,1 stop ,"3,822 SAR ",02-02-2022
KLM,NYC,RUH,20h 45m ,1 stop ,"3,759 SAR ",02-02-2022
Emirates,NYC,RUH,24h 10m ,1 stop ,"3,759 SAR ",02-02-2022
Emirates,NYC,RUH,24h 05m ,1 stop ,"3,790 SAR ",02-02-2022
Emirates,NYC,RUH,24h 55m ,1 stop ,"3,790 SAR ",02-02-2022
Emirates,NYC,RUH,25h 00m ,1 stop ,"3,790 SAR ",02-02-2022
Air France,NYC,RUH,19h 50m ,1 stop ,"3,822 SAR ",02-02-2022
"Air France, SAUDIA",NYC,RUH,17h 45m ,1 stop ,"4,054 SAR ",02-02-2022
"Finnair, British Airways",NYC,RUH,17h 15m ,1 stop ,"4,256 SAR ",02-02-2022
"Emirates, flynas",NYC,RUH,17h 45m ,1 stop ,"4,369 SAR ",02-02-2022
"Royal Air Maroc, Air Arabia",NYC,RUH,18h 45m ,2 stops ,"2,161 SAR ",02-02-2022
"Egypt Air, SAUDIA",NYC,RUH,21h 10m ,2 stops ,"2,570 SAR ",02-02-2022
"Royal Air Maroc, Egypt Air",NYC,RUH,17h 15m ,2 stops ,"2,744 SAR ",02-02-2022
"Egypt Air, SAUDIA",NYC,RUH,19h 05m ,2 stops ,"2,873 SAR ",02-02-2022
"Virgin Atlantic, SAUDIA",NYC,RUH,16h 14m ,1 stop ,"7,486 SAR ",02-02-2022
"American Airlines, British Airways",NYC,RUH,15h 35m ,1 stop ,"7,633 SAR ",02-02-2022
British Airways,NYC,RUH,15h 35m ,1 stop ,"7,656 SAR ",02-02-2022
"Royal Air Maroc, flynas",NYC,RUH,22h 25m ,2 stops ,"2,106 SAR ",02-02-2022
Multiple Airlines,NYC,RUH,21h 20m ,2 stops ,"2,508 SAR ",02-02-2022
"Finnair, Turkish Airlines",NYC,RUH,21h 30m ,2 stops ,"2,554 SAR ",02-02-2022
Ethiopian Air,NYC,RUH,21h 40m ,2 stops ,"2,605 SAR ",02-02-2022
"Egypt Air, flynas",NYC,RUH,18h 35m ,2 stops ,"2,675 SAR ",02-02-2022
"Egypt Air, SAUDIA",NYC,RUH,22h 10m ,2 stops ,"2,757 SAR ",02-02-2022
Ethiopian Air,NYC,RUH,21h 40m ,2 stops ,"2,788 SAR ",02-02-2022
"Egypt Air, SAUDIA",NYC,RUH,20h 05m ,2 stops ,"2,873 SAR ",02-02-2022
"Egypt Air, Gulf Air",NYC,RUH,18h 10m ,2 stops ,"2,915 SAR ",02-02-2022
Qatar Airways,NYC,RUH,24h 11m ,2 stops ,"2,978 SAR ",02-02-2022
"Air France, Royal Jordanian",NYC,RUH,18h 20m ,2 stops ,"3,123 SAR ",02-02-2022
"Air France, Royal Jordanian",NYC,RUH,21h 40m ,2 stops ,"3,123 SAR ",02-02-2022
"Emirates, Egypt Air",NYC,RUH,20h 40m ,2 stops ,"3,171 SAR ",02-02-2022
Qatar Airways,NYC,RUH,23h 40m ,2 stops ,"3,190 SAR ",02-02-2022
Qatar Airways,NYC,RUH,24h 40m ,2 stops ,"3,199 SAR ",02-02-2022
Etihad Airways,NYC,RUH,24h 45m ,2 stops ,"3,215 SAR ",02-02-2022
Air Canada,NYC,RUH,20h 00m ,2 stops ,"3,403 SAR ",02-02-2022
Air Canada,NYC,RUH,20h 10m ,2 stops ,"3,403 SAR ",02-02-2022
Air Canada,NYC,RUH,21h 14m ,2 stops ,"3,403 SAR ",02-02-2022
Air Canada,NYC,RUH,23h 00m ,2 stops ,"3,403 SAR ",02-02-2022
Air Canada,NYC,RUH,25h 00m ,2 stops ,"3,403 SAR ",02-02-2022
Air Canada,NYC,RUH,25h 00m ,2 stops ,"3,403 SAR ",02-02-2022
Air Canada,NYC,RUH,21h 40m ,2 stops ,"3,410 SAR ",02-02-2022
Air Canada,NYC,RUH,22h 40m ,2 stops ,"3,410 SAR ",02-02-2022
Air Canada,NYC,RUH,23h 25m ,2 stops ,"3,410 SAR ",02-02-2022
Air Canada,NYC,RUH,24h 35m ,2 stops ,"3,410 SAR ",02-02-2022
Air Canada,NYC,RUH,17h 05m ,2 stops ,"3,424 SAR ",02-02-2022
Air Canada,NYC,RUH,17h 15m ,2 stops ,"3,424 SAR ",02-02-2022
Air Canada,NYC,RUH,18h 05m ,2 stops ,"3,424 SAR ",02-02-2022
Air Canada,NYC,RUH,19h 05m ,2 stops ,"3,424 SAR ",02-02-2022
Air Canada,NYC,RUH,20h 15m ,2 stops ,"3,424 SAR ",02-02-2022
"Air France, Lufthansa",NYC,RUH,19h 25m ,2 stops ,"3,451 SAR ",02-02-2022
SWISS,NYC,RUH,17h 30m ,2 stops ,"3,488 SAR ",02-02-2022
Lufthansa,NYC,RUH,18h 25m ,2 stops ,"3,502 SAR ",02-02-2022
Lufthansa,NYC,RUH,18h 25m ,2 stops ,"3,502 SAR ",02-02-2022
Lufthansa,NYC,RUH,18h 25m ,2 stops ,"3,502 SAR ",02-02-2022
Lufthansa,NYC,RUH,18h 25m ,2 stops ,"3,502 SAR ",02-02-2022
SWISS,NYC,RUH,17h 00m ,2 stops ,"3,508 SAR ",02-02-2022
Lufthansa,NYC,RUH,18h 00m ,2 stops ,"3,517 SAR ",02-02-2022
Lufthansa,NYC,RUH,17h 00m ,2 stops ,"3,518 SAR ",02-02-2022
Lufthansa,NYC,RUH,17h 30m ,2 stops ,"3,522 SAR ",02-02-2022
Lufthansa,NYC,RUH,18h 35m ,2 stops ,"3,522 SAR ",02-02-2022
Lufthansa,NYC,RUH,18h 35m ,2 stops ,"3,522 SAR ",02-02-2022
Lufthansa,NYC,RUH,18h 35m ,2 stops ,"3,522 SAR ",02-02-2022
Lufthansa,NYC,RUH,18h 35m ,2 stops ,"3,522 SAR ",02-02-2022
Lufthansa,NYC,RUH,17h 10m ,2 stops ,"3,534 SAR ",02-02-2022
Lufthansa,NYC,RUH,16h 55m ,2 stops ,"3,542 SAR ",02-02-2022
SWISS,NYC,RUH,18h 05m ,2 stops ,"3,544 SAR ",02-02-2022
Lufthansa,NYC,RUH,18h 05m ,2 stops ,"3,556 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,20h 00m ,2 stops ,"3,557 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,20h 10m ,2 stops ,"3,557 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,21h 14m ,2 stops ,"3,557 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,23h 00m ,2 stops ,"3,557 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,25h 00m ,2 stops ,"3,557 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,25h 00m ,2 stops ,"3,557 SAR ",02-02-2022
"United Airlines, Lufthansa",NYC,RUH,18h 00m ,2 stops ,"3,577 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,17h 05m ,2 stops ,"3,578 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,17h 15m ,2 stops ,"3,578 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,18h 05m ,2 stops ,"3,578 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,19h 05m ,2 stops ,"3,578 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,20h 15m ,2 stops ,"3,578 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,20h 35m ,2 stops ,"3,578 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,21h 45m ,2 stops ,"3,578 SAR ",02-02-2022
"Air Canada, Lufthansa",NYC,RUH,21h 45m ,2 stops ,"3,578 SAR ",02-02-2022
"United Airlines, Lufthansa",NYC,RUH,17h 10m ,2 stops ,"3,594 SAR ",02-02-2022
"Turkish Airlines, flynas",NYC,RUH,17h 30m ,2 stops ,"3,654 SAR ",02-02-2022
Emirates,NYC,RUH,18h 30m ,2 stops ,"3,759 SAR ",02-02-2022
Emirates,NYC,RUH,19h 25m ,2 stops ,"3,759 SAR ",02-02-2022
Emirates,NYC,RUH,24h 05m ,2 stops ,"3,759 SAR ",02-02-2022
Emirates,NYC,RUH,24h 55m ,2 stops ,"3,759 SAR ",02-02-2022
Emirates,NYC,RUH,25h 00m ,2 stops ,"3,759 SAR ",02-02-2022
Air France,NYC,RUH,20h 05m ,2 stops ,"3,775 SAR ",02-02-2022
KLM,NYC,RUH,19h 20m ,2 stops ,"3,809 SAR ",02-02-2022
KLM,NYC,RUH,18h 50m ,2 stops ,"3,828 SAR ",02-02-2022
Air France,NYC,RUH,18h 50m ,2 stops ,"3,828 SAR ",02-02-2022
KLM,NYC,RUH,19h 50m ,2 stops ,"3,828 SAR ",02-02-2022
KLM,NYC,RUH,19h 50m ,2 stops ,"3,828 SAR ",02-02-2022
Air France,NYC,RUH,19h 50m ,2 stops ,"3,828 SAR ",02-02-2022
Air France,NYC,RUH,19h 50m ,2 stops ,"3,828 SAR ",02-02-2022
"Turkish Airlines, SAUDIA",NYC,RUH,17h 15m ,2 stops ,"3,830 SAR ",02-02-2022
KLM,NYC,RUH,19h 20m ,2 stops ,"3,840 SAR ",02-02-2022
KLM,NYC,RUH,19h 20m ,2 stops ,"3,840 SAR ",02-02-2022
KLM,NYC,RUH,20h 50m ,2 stops ,"3,901 SAR ",02-02-2022
KLM,NYC,RUH,20h 50m ,2 stops ,"3,901 SAR ",02-02-2022
KLM,NYC,RUH,20h 50m ,2 stops ,"3,901 SAR ",02-02-2022
KLM,NYC,RUH,20h 50m ,2 stops ,"3,901 SAR ",02-02-2022
KLM,NYC,RUH,21h 50m ,2 stops ,"3,901 SAR ",02-02-2022
KLM,NYC,RUH,21h 50m ,2 stops ,"3,901 SAR ",02-02-2022
KLM,NYC,RUH,21h 50m ,2 stops ,"3,901 SAR ",02-02-2022
KLM,NYC,RUH,21h 50m ,2 stops ,"3,901 SAR ",02-02-2022
KLM,NYC,RUH,21h 50m ,2 stops ,"3,901 SAR ",02-02-2022
KLM,NYC,RUH,17h 20m ,2 stops ,"3,914 SAR ",02-02-2022
Air France,NYC,RUH,20h 50m ,2 stops ,"4,070 SAR ",02-02-2022
Air France,NYC,RUH,20h 50m ,2 stops ,"4,070 SAR ",02-02-2022
Air France,NYC,RUH,20h 50m ,2 stops ,"4,070 SAR ",02-02-2022
Air France,NYC,RUH,20h 50m ,2 stops ,"4,070 SAR ",02-02-2022
Air France,NYC,RUH,21h 50m ,2 stops ,"4,070 SAR ",02-02-2022
Air France,NYC,RUH,21h 50m ,2 stops ,"4,070 SAR ",02-02-2022
Air France,NYC,RUH,21h 50m ,2 stops ,"4,070 SAR ",02-02-2022
Air France,NYC,RUH,21h 50m ,2 stops ,"4,070 SAR ",02-02-2022
Air France,NYC,RUH,21h 50m ,2 stops ,"4,070 SAR ",02-02-2022
"American Airlines, British Airways",NYC,RUH,17h 15m ,1 stop ,"7,633 SAR ",02-02-2022
"American Airlines, British Airways",NYC,RUH,17h 55m ,1 stop ,"7,633 SAR ",02-02-2022
"American Airlines, British Airways",NYC,RUH,18h 05m ,1 stop ,"7,633 SAR ",02-02-2022
"American Airlines, British Airways",NYC,RUH,18h 35m ,1 stop ,"7,633 SAR ",02-02-2022
"American Airlines, British Airways",NYC,RUH,19h 40m ,1 stop ,"7,633 SAR ",02-02-2022
"American Airlines, British Airways",NYC,RUH,19h 55m ,1 stop ,"7,633 SAR ",02-02-2022
"American Airlines, British Airways",NYC,RUH,20h 10m ,1 stop ,"7,633 SAR ",02-02-2022
"American Airlines, British Airways",NYC,RUH,20h 20m ,1 stop ,"7,633 SAR ",02-02-2022
British Airways,NYC,RUH,17h 15m ,1 stop ,"7,656 SAR ",02-02-2022
